target,arm,k,mean,std,count
HR_std,plain_backbone,16,0.5886459796659744,0.027174599136904808,5
HR_std,plain_backbone,32,0.6327321544910298,0.017149680306763317,5
HR_std,plain_backbone,64,0.6549282000693808,0.01795825285291954,5
HR_std,plain_backbone,128,0.6779132154644646,0.0107155482521927,5
HR_std,plain_backbone,384,0.716081126130443,0.017953698109036197,5
HR_std,v8_backbone,2,0.30590442208929014,0.03337446298937421,5
HR_std,v8_backbone,4,0.3392263102751472,0.018041638455328114,5
HR_std,v8_backbone,8,0.4788417645526922,0.031006442222152396,5
HR_std,v8_backbone,16,0.5618171244513406,0.02464135981818366,5
HR_std,v8_backbone,32,0.6367498537498835,0.0187905671478537,5
HR_std,v8_backbone,64,0.6649390203897323,0.02154349601533387,5
HR_std,v8_backbone,128,0.6810278264921518,0.02548457210544205,5
HR_std,v8_backbone,384,0.7182657968351653,0.026338718157084225,5
HR_std,v8_latent,2,0.31692684999225135,0.02167819212768853,5
HR_std,v8_latent,4,0.33987563992066544,0.02084665737865388,5
HR_std,v8_latent,8,0.434607885298287,0.01697149310973042,5
HR_std,v8_latent,16,0.48213563468286813,0.016894654890282874,5
HR_std,v8_latent,32,0.5216781702083001,0.007220211665575131,5
RMSSD,plain_backbone,2,0.28186727865338035,0.017655388999654145,5
RMSSD,plain_backbone,4,0.33377011591966366,0.01414109108041766,5
RMSSD,plain_backbone,8,0.4072857194657627,0.031639067937590956,5
RMSSD,plain_backbone,16,0.5237528217397032,0.027336099637013195,5
RMSSD,plain_backbone,32,0.5600808699840217,0.021397957015014953,5
RMSSD,plain_backbone,64,0.5809843474554628,0.021367566488006244,5
RMSSD,plain_backbone,128,0.6018518982747756,0.016762862889203107,5
RMSSD,plain_backbone,384,0.6358710781074645,0.021588130547038894,5
RMSSD,v8_backbone,2,0.30195672779173294,0.03966063411792885,5
RMSSD,v8_backbone,4,0.33511538083886344,0.023826042501319984,5
RMSSD,v8_backbone,8,0.4329114724499439,0.028923014966708314,5
RMSSD,v8_backbone,16,0.5032535993323327,0.0273024426230798,5
RMSSD,v8_backbone,32,0.5674895512409632,0.02107160420375524,5
RMSSD,v8_backbone,64,0.5942086511261753,0.021815938313703015,5
RMSSD,v8_backbone,128,0.6111419136548524,0.027738899862025358,5
RMSSD,v8_backbone,384,0.6437210059864362,0.0334158193882806,5
RMSSD,v8_latent,2,0.2930342280228479,0.0244160630659344,5
RMSSD,v8_latent,4,0.3188321104092049,0.02407973573099944,5
RMSSD,v8_latent,8,0.4018407585436414,0.021872634262233976,5
RMSSD,v8_latent,16,0.44050503057210744,0.014620154189943535,5
RMSSD,v8_latent,32,0.4715780115603083,0.011070043094426581,5
resp_rate,plain_backbone,2,0.00363322147536082,0.004039772267303852,5
resp_rate,plain_backbone,4,0.00840887683182472,0.0020311145451927973,5
resp_rate,plain_backbone,8,0.01054231113736852,0.0024103377342925836,5
resp_rate,plain_backbone,16,0.02055058315353712,0.0074369747849420895,5
resp_rate,plain_backbone,32,0.02744582962301944,0.01043252897716078,5
resp_rate,plain_backbone,64,0.02560112673212364,0.006899336056825505,5
resp_rate,plain_backbone,128,0.024901804665972062,0.005967555226828243,5
resp_rate,plain_backbone,384,0.025760086238606362,0.006116615875123856,5
